en	zh
apron HAINAN seven six zero three marshaller in sight see YOU later	机坪 海南 拐六洞三 目视达美 再见
left vacate taxi via BRAVO hold short HOTEL two AIR JUNEYAO one two one three	向左转 滑行通过 BRAVO 等待 HOTEL 两 吉祥航空 幺两幺三
taxi via BRAVO hold short HOTEL two tower one one eight decimal six five GIANT five four zero	通过 BRAVO 等待 HOTEL 两 塔台 幺幺八点六五 GIANT 五四洞
heading	航向
sorry could YOU fly that expect delay turn	抱歉 你能飞吗 预计延误
PUDONG apron KOREAN AIR eight nine eight how long before pushback	浦东 机坪 韩亚航空 八九八 推回前还要多久
CATHAY three six five go ahead	国泰航空 三六五 请讲
runway track	跑道
EVA seven seven two runway vacated A one EVA seven seven two	EVA 拐拐两 跑道清空 A 幺 EVA 拐拐两
ILS approach runway zero two right AIR BUSAN	ILS 接近跑道 洞两 右 AIR BUSAN
D H hold short of runway	D H 等待跑道
D H seven hold short of ILS	D H 拐 等待 ILS
readback the delivery for the final	复述最终的调度
SILK WEST zero four seven apron taxi LIMA one five parking stand three two	SILK WEST 洞四拐 停机坪 通过 LIMA 幺五 停机位 三两
apron good day LUFTHANSA CARGO eight four one one position three zero four ready	机坪 日安 汉莎货运 八四幺幺 停机位 三洞四 准备好了
<FOUR-HUNDRED>	<FOUR-HUNDRED>
check	检查
check	检查
SCOOTER one zero six	SCOOTER 幺洞六
yeah er affirm any up bay for us to BAUHINIA two three	是的 确认 任何可用停机位 BAUHINIA 两三
present heading	当前航向
hold short ECHO one two one eight thank YOU good day PHILIPPINE three three eight	等待 ECHO 幺两幺点八 谢谢你 日安 菲律宾航空 三三八
<FIVE>	<FIVE>
check	检查
apron CHINA EASTERN five three three five approaching DELTA	机坪 东航 五三三五 接近 DELTA
approach runway	接近跑道
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
<ONE-THOUSAND>	<ONE-THOUSAND>
pushback and start up approved runway three six left AIR JUNEYAO one two one one	推回和启动获批 跑道三六左转 东航 幺两幺幺
er thank	谢谢
BAUHINIA two three seven STAY the me er expect forty minutes	BAUHINIA 两三拐 等待 预计 四洞 分钟
tower good evening AIR JUNEYAO one two one zero localizer runway three six right	塔台 晚安 吉祥航空 幺两幺洞 ILS 跑道 三六 右
NAV	导航
climb	爬升
NAV	导航
er one one three zero three AIR MACAU one three eight	确认 幺幺三洞三 澳门航空 幺三八
turn right on A one two one decimal nine AIR MACAU one two eight bye bye	向右转 A 联系 幺两幺点九 澳门航空 幺两八 再见
D H hold short of runway	D H 等待跑道
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
standard	标准
yes runway zero two right	是的 跑道 洞两 右
continue ILS approach	继续 ILS 进近
radar contact	雷达接触
runway three six right clear to land CHINA EASTERN five three seven	跑道 三六 右 清晰着陆 东航 五三拐
zero six	零六
XANADU three three one request pushback and cross please start	XANADU 三三幺 请求推回并穿越 请开始
check	检查
er one two one decimal nine seven five	幺两幺点九拐五
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
runway three six left clear for take off CHINA EASTERN five one one	跑道 三六 左 清晰起飞 东航 五幺幺
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
NEW ZEALAND two eight nine now YOU contact one two one decimal nine seven five	新西兰 两八九 现在你联系 幺两幺点九拐五
tower AIR JUNEYAO one one zero six localizer runway three six right	塔台 吉祥航空 幺幺洞六 ILS 跑道 三六 右
<THIRTY>	<THIRTY>
via TANGO four hold short ECHO PHILIPPINE three three eight	通过 TANGO 四 等待 ECHO 菲律宾航空 三三八
runway three six left line up and wait JAPAN AIR eight two	跑道 三六 左 排队等候 日本航空 八两
<FORTY>	<FORTY>
AIR JUNEYAO one two one two tower continue approach runway three six right QNH one zero one four	吉祥航空 幺两幺两 塔台 继续接近 跑道 三六 右 QNH 幺洞幺四
<FORTY>	<FORTY>
HONGQIAO apron AIR JUNEYAO one two one one spot two two three ready	虹桥 机坪 东航 幺两幺幺 停机位 两两三 准备好了
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
apron good evening ASIANA three six six gate five eight fully push and ready	机坪 晚安 亚航 三六六 停机位 五八 完全准备好
turn left vacate BRAVO HOTEL short hold short of HOTEL two CHINA EASTERN five one	向左转 滑行 BRAVO 等待 HOTEL 两 东航 五幺
apron CHINA EASTERN five one one nine tug ready	机坪 东航 五幺幺九 拖车准备好了
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
CHINA EASTERN five	东航 五
tower AIR JUNEYAO one	塔台 吉祥航空 幺
standard	标准
CATHAY three seven seven er report ready for push	国泰 三拐拐 报告准备推回
er confirm YOU calling BAUHINIA two three seven	确认 你呼叫 BAUHINIA 两三拐
AIR JUNEYAO one eight five six line up and wait runway three six left	吉祥航空 幺八五六 排队等候跑道 三六 左
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
er say again	请再说一遍
INDONESIA eight nine five stand by er about three zero	印尼航空 八九五 待命 大约 三洞 分钟
check	检查
land	着陆
<FOUR-HUNDRED>	<FOUR-HUNDRED>
<FMA-MODE-TRANSITION>	<FMA-MODE-TRANSITION>
DELTA hold short of DELTA one six CHINA EASTERN five three three five	DELTA 等待 DELTA 幺六 东航 五三三五
SWISS one eight nine contact apron one two one decimal nine seven five	瑞士航空 幺八九 联系 幺两幺点九拐五
AIR BUSAN three two one	釜山航空 三两幺
one two one nine seven five ASIANA three six six	幺两幺点九拐五 亚航 三六六
JUNEYAO one two zero nine contact approach one two six decimal six bye	吉祥航空 幺两洞九 联系进近 幺两六点六 再见
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
<ONE-HUNDRED>	<ONE-HUNDRED>
JUNEYAO one two one zero via BRAVO ZULU knots hold short DELTA	吉祥航空 幺两幺洞 通过 BRAVO ZULU 等待 DELTA
CHINA EASTERN five one six six HANGZHOU tower continue ILS approach runway three QNH one zero one six	东航 五幺六六 杭州塔台 继续 ILS 接近 跑道 三 QNH 幺洞幺六
CHINA EASTERN five two seven one pushback and start up approved runway three six left	东航 五两拐幺 推回和启动获批 跑道三六左转
CHINA EASTERN five three zero eight surface wind three six zero degrees at one zero meters per second runway three six right clear to land	东航 五三洞八 表面风速 三六洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
roger H four one zero nine	收到 H 四幺洞九
AIR JUNEYAO one two one two apron taxi via DELTA parking bay four zero seven	吉祥航空 幺两幺两 机坪 滑行经过 DELTA 停机位 四洞拐
QINGDAO tower continue H two hold short runway three five due to traffic	青岛塔台 继续 H 两 等待跑道 三五 由于交通
hold short of H four	等待 H 四
check	检查
NAV	导航
CHINA SOUTHERN good day	南方航空 日安
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
land	着陆
CHINA EASTERN five three three five contact ground one two one decimal nine good day	东航 五三三五 联系地面 幺两幺点九 日安
one one eight decimal six five AIR JUNEYAO one two one two good day	幺幺八点六五 吉祥航空 幺两幺两 日安
land	着陆
CHINA EASTERN five one six two heavy HONGQIAO tower taxi via HOTEL two hold short runway three six left due to	东航 五幺六两 重型 虹桥塔台 通过 HOTEL 两 等待跑道 三六 左 由于
apron THAI six six three stand seven five fully ready	机坪 泰航 六六三 停机位 拐五 完全准备好
<ONE-HUNDRED>	<ONE-HUNDRED>
NAV	导航
<FIVE>	<FIVE>
runway three six right clear to land AIR JUNEYAO one two one two	跑道 三六 右 清晰着陆 吉祥航空 幺两幺两
H four hold short runway one eight correction runway three five right	H 四 等待跑道 幺八 更正 跑道 三五 右
AIR MACAU one two eight turn right A contact er contact ground one two one decimal	澳门航空 幺两八 向右转 A 联系地面 幺两幺点九
NAV	导航
ground er apron AIR JUNEYAO one zero eight five stand two three three we are ready	地面 吉祥航空 幺洞八五 停机位 两三三 我们准备好了
one two one nine nine seven five PHILIPPINE three three nine	幺两幺点九拐五 菲律宾航空 三三九
<FIVE>	<FIVE>
HAINAN seven six zero three apron DELTA one one YANKEE two follow follow-me car stand two three seven	海南 拐六洞三 机坪 DELTA 幺幺 Y两 跟随引导车 停机位 两三拐
land	着陆
apron CHINA EASTERN five five one five how long time with delay	机坪 东航 五五幺五 延误还要多久
normal	正常
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
pushback and start is approved runway three six left facing south CHINA EASTERN five one zero seven	推回和启动获批 跑道三六左转 面向南方 东航 五幺洞拐
check	检查
go ahead AIR JUNEYAO one one zero six	请讲 吉祥航空 幺幺洞六
on D	在 D
<ENGINE>	<ENGINE>
apron CHINA EASTERN five three five three stand two six seven fully ready	机坪 东航 五三五三 停机位 两六拐 完全准备好
KOREAN AIR eight nine four contact apron one two one decimal six five	韩亚航空 八九四 联系机坪 幺两幺点六五
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
NAV	导航
climb	爬升
landing	着陆
JAPAN AIR eight one HONGQIAO tower good morning continue approach runway three six right QNH one zero one zero	日本航空 八幺 虹桥塔台 早安 继续接近 跑道 三六 右 QNH 幺洞幺洞
AIR JUNEYAO one one zero six report the wind deviation on final	吉祥航空 幺幺洞六 报告最终进近的风偏差
JUNEYAO one two zero nine wind zero five zero degrees nine meters per second runway three six left clear for take off	吉祥航空 幺两洞九 风速 洞五洞° 每秒 九 米 跑道 三六 左 清晰起飞
BAUHINIA two three seven confirm calling	BAUHINIA 两三拐 确认 通话
NAV	导航
CHARLIE BRAVO WHISKEY eight five zero one cross runway three six right expedite	CHARLIE BRAVO WHISKEY 八五洞 穿越跑道 三六 右 加速
runway three six right clear to land AIR JUNEYAO one two one zero	跑道 三六 右 清晰着陆 吉祥航空 幺两幺洞
QNH one zero one three continue approach runway three six right CHINA EASTERN five three zero eight	QNH 幺洞幺三 继续接近 跑道 三六 右 东航 五三洞八
AIR MACAU one three eight turn right vacate	澳门航空 幺三八 向右转 滑行
AIR JUNEYAO one one zero six report the wind deviation on final	吉祥航空 幺幺洞六 报告最终进近的风偏差
taxi via MIKE two DELTA hold short of DELTA one six CHINA EASTERN five one six three	滑行经过 MIKE 两 DELTA 等待 DELTA 幺六 东航 五幺六三
鍥借埅骞哄叓涓夊憙 BAUHINIA two three nine turn left join BRAVO hold short of HOTEL six	BAUHINIA 两三九 左转 加入 BRAVO 等待 HOTEL 六
LUFTHANSA seven eight seven contact approach one two six	汉莎航空 拐八拐 联系进近 幺两六
AIR JUNEYAO one nine zero ZULU approaching HOTEL six	吉祥航空 幺九洞 ZULU 接近 HOTEL 六
AIR BUSAN three one two one nine good day	釜山航空 三幺两幺九 日安
AUSTRIAN seven six YOU are number two	奥地利航空 拐六 你是第二个
er AEROFLOT two zero nine STAY er no time er tower tow me er the runway is on airborne to take off	俄罗斯航空 两洞九 等待 目前没有时间 塔台 拖我起飞
CHINA EASTERN five two seven one holding short DELTA one six	东航 五两拐幺 等待 DELTA 幺六
L D zero seven	L D 洞拐
check	检查
one one eight decimal six five good day CHINA EASTERN five one four	幺幺八点六五 日安 东航 五幺四
land	着陆
clear to land three six right AIR MACAU one three eight	跑道 三六 右 清晰着陆 澳门航空 幺三八
AIR MACAU one three eight tower continue approach runway three six right QNH one zero one	澳门航空 幺三八 塔台 继续接近 跑道 三六 右 QNH 幺洞幺
<FOUR-HUNDRED>	<FOUR-HUNDRED>
say again for UNITED eight five eight	请再说一遍 联合航空 八五八
normal	正常
AIR JUNEYAO one eight eight one morning apron pushback and start up approved runway three six left	东航 幺八八幺 早上好 机坪 推回和启动获批 跑道三六左转
<FIVE>	<FIVE>
AIR MACAU one three eight surface wind three five zero degrees one zero meters per second runway three six right clear to land	澳门航空 幺三八 表面风速 三五洞° 每秒 幺洞 米 跑道 三六 右 清晰着陆
runway three six right clear to land KOREAN AIR eight	跑道 三六 右 清晰着陆 韩亚航空 八
